SCRUB_ITEM,weekday,year,UNIT_QTY
2,1,2018,3.0
2,52,2018,13.0
2,1,2019,21.0
2,2,2019,11.0
2,3,2019,32.0
2,4,2019,9.0
2,5,2019,30.0
2,6,2019,31.0
2,7,2019,34.0
2,8,2019,58.0
2,9,2019,70.0
2,10,2019,86.0
2,11,2019,49.0
2,12,2019,71.0
2,13,2019,123.0
2,14,2019,19.0
2,15,2019,52.0
2,16,2019,111.0
2,17,2019,-3.0
2,21,2019,85.0
2,22,2019,35.0
2,23,2019,88.0
2,24,2019,47.0
2,25,2019,109.0
2,26,2019,98.0
2,27,2019,-1.0
2,32,2019,-1.0
2,38,2019,29.0
2,39,2019,80.0
2,40,2019,68.0
2,41,2019,28.0
2,42,2019,53.0
2,43,2019,35.0
2,44,2019,43.0
2,45,2019,88.0
2,46,2019,21.0
2,47,2019,38.0
2,48,2019,28.0
2,49,2019,50.0
2,50,2019,34.0
2,51,2019,46.0
2,52,2019,32.0
2,1,2020,19.0
2,2,2020,87.0
2,3,2020,51.0
2,4,2020,50.0
2,5,2020,135.0
2,6,2020,181.0
2,7,2020,42.0
2,8,2020,81.0
2,9,2020,100.0
2,10,2020,109.0
2,11,2020,124.0
2,12,2020,177.0
2,13,2020,47.0
2,14,2020,79.0
2,15,2020,5.0
2,16,2020,-5.0
2,18,2020,221.0
2,19,2020,175.0
2,20,2020,162.0
2,21,2020,-5.0
2,23,2020,14.0
2,24,2020,95.0
2,25,2020,78.0
2,26,2020,74.0
2,27,2020,49.0
2,31,2020,2.0
2,32,2020,19.0
2,33,2020,46.0
2,34,2020,17.0
2,35,2020,39.0
2,36,2020,40.0
2,37,2020,31.0
2,38,2020,32.0
2,39,2020,35.0
2,40,2020,42.0
2,41,2020,56.0
2,42,2020,54.0
2,43,2020,84.0
2,44,2020,96.0
2,45,2020,73.0
2,46,2020,149.0
2,47,2020,237.0
2,48,2020,133.0
2,49,2020,190.0
2,50,2020,135.0
2,51,2020,106.0
2,52,2020,41.0
2,53,2020,57.0
2,1,2021,120.0
2,2,2021,102.0
2,3,2021,59.0
2,4,2021,19.0
2,5,2021,147.0
2,6,2021,118.0
2,7,2021,52.0
2,8,2021,141.0
2,9,2021,200.0
2,10,2021,265.0
2,11,2021,339.0
2,12,2021,275.0
2,13,2021,208.0
2,14,2021,76.0
2,15,2021,-5.0
2,17,2021,37.0
2,18,2021,167.0
2,19,2021,256.0
2,20,2021,345.0
2,21,2021,343.0
2,22,2021,169.0
2,23,2021,-2.0
2,25,2021,10.0
2,26,2021,103.0
2,27,2021,86.0
2,28,2021,116.0
2,29,2021,115.0
2,30,2021,144.0
2,31,2021,118.0
40,1,2018,93.0
40,2,2018,25.0
40,3,2018,16.0
40,4,2018,7.0
40,5,2018,2.0
40,6,2018,5.0
40,7,2018,3.0
40,8,2018,3.0
40,9,2018,3.0
40,10,2018,6.0
40,11,2018,2.0
40,12,2018,14.0
40,13,2018,12.0
40,14,2018,5.0
40,15,2018,18.0
40,16,2018,14.0
40,17,2018,5.0
40,18,2018,6.0
40,19,2018,2.0
40,20,2018,4.0
40,21,2018,4.0
40,22,2018,1.0
40,23,2018,2.0
40,28,2018,2.0
40,29,2018,1.0
40,30,2018,2.0
40,31,2018,2.0
40,32,2018,3.0
40,34,2018,4.0
40,35,2018,4.0
40,36,2018,4.0
40,37,2018,4.0
40,38,2018,11.0
40,39,2018,17.0
40,40,2018,9.0
40,43,2018,4.0
40,44,2018,29.0
40,45,2018,40.0
40,46,2018,177.0
40,47,2018,3.0
40,48,2018,210.0
40,49,2018,75.0
40,50,2018,95.0
40,51,2018,30.0
40,52,2018,21.0
40,1,2019,23.0
40,2,2019,23.0
40,3,2019,22.0
40,5,2019,1.0
40,6,2019,3.0
40,7,2019,11.0
40,8,2019,8.0
40,9,2019,20.0
40,10,2019,8.0
40,13,2019,-1.0
40,15,2019,-1.0
40,16,2019,-1.0
40,22,2019,4.0
40,23,2019,2.0
40,24,2019,1.0
40,27,2019,4.0
40,30,2019,1.0
40,34,2019,2.0
40,35,2019,5.0
40,36,2019,6.0
40,37,2019,12.0
40,38,2019,10.0
40,39,2019,8.0
40,40,2019,22.0
40,41,2019,33.0
40,42,2019,32.0
40,43,2019,51.0
40,44,2019,239.0
40,45,2019,253.0
40,46,2019,297.0
40,47,2019,64.0
40,48,2019,49.0
40,49,2019,235.0
40,50,2019,179.0
40,51,2019,145.0
40,52,2019,36.0
40,1,2020,6.0
40,2,2020,13.0
40,3,2020,8.0
40,4,2020,33.0
40,5,2020,9.0
40,6,2020,6.0
40,7,2020,9.0
40,8,2020,4.0
40,9,2020,14.0
40,10,2020,3.0
40,11,2020,4.0
40,12,2020,6.0
40,13,2020,13.0
40,14,2020,25.0
40,15,2020,38.0
40,16,2020,58.0
40,17,2020,84.0
40,18,2020,77.0
40,19,2020,55.0
40,20,2020,63.0
40,21,2020,89.0
40,22,2020,13.0
40,23,2020,13.0
40,24,2020,20.0
40,25,2020,15.0
40,26,2020,-1.0
40,27,2020,4.0
40,28,2020,5.0
40,29,2020,5.0
40,30,2020,1.0
40,31,2020,10.0
40,32,2020,6.0
40,33,2020,4.0
40,34,2020,6.0
40,35,2020,24.0
40,36,2020,29.0
40,37,2020,59.0
40,38,2020,33.0
40,39,2020,-1.0
40,40,2020,14.0
40,41,2020,67.0
40,42,2020,337.0
40,43,2020,225.0
40,44,2020,407.0
40,45,2020,268.0
40,46,2020,340.0
40,47,2020,401.0
40,48,2020,791.0
40,49,2020,441.0
40,50,2020,123.0
40,51,2020,-5.0
40,52,2020,-1.0
40,53,2020,-4.0
40,1,2021,-3.0
40,2,2021,-7.0
40,3,2021,-2.0
40,4,2021,17.0
40,5,2021,63.0
40,6,2021,94.0
40,7,2021,94.0
40,8,2021,11.0
40,9,2021,22.0
40,10,2021,15.0
40,11,2021,11.0
40,12,2021,15.0
40,13,2021,8.0
40,14,2021,12.0
40,15,2021,12.0
40,16,2021,15.0
40,17,2021,-1.0
40,18,2021,7.0
40,19,2021,6.0
40,20,2021,7.0
40,21,2021,10.0
40,22,2021,9.0
40,23,2021,4.0
40,24,2021,3.0
40,25,2021,-1.0
40,26,2021,2.0
40,27,2021,3.0
40,28,2021,2.0
40,29,2021,2.0
40,30,2021,5.0
40,31,2021,1.0
47,1,2018,11.0
47,2,2018,10.0
47,3,2018,4.0
47,4,2018,13.0
47,5,2018,8.0
47,6,2018,17.0
47,7,2018,6.0
47,8,2018,2.0
47,38,2018,2.0
47,41,2018,1.0
47,42,2018,4.0
47,43,2018,4.0
47,44,2018,6.0
47,45,2018,4.0
47,46,2018,1.0
47,1,2019,12.0
47,4,2019,4.0
47,5,2019,3.0
47,6,2019,3.0
47,7,2019,6.0
47,8,2019,5.0
47,41,2019,1.0
47,44,2019,6.0
47,45,2019,21.0
47,46,2019,42.0
47,47,2019,27.0
47,48,2019,16.0
47,49,2019,75.0
47,50,2019,25.0
47,51,2019,35.0
47,52,2019,22.0
47,1,2020,3.0
47,2,2020,4.0
47,3,2020,9.0
47,4,2020,25.0
47,5,2020,18.0
47,6,2020,2.0
47,7,2020,1.0
47,8,2020,1.0
